name,rating
Monkey 47 Dry Gin,9.9
"Eric Bordelet Selection ""Henri Bernard Beudin"" 1997 Single Cask Calvados",9.9
Cognac Dudognon Heritage,9.9
Hibiki 21 Year,9.9
Hibiki 21 Year,9.9
Highland Park 18 Year,9.9
George T. Stagg Bourbon (Fall 2019),9.8
4 Copas Tequila Blanco,9.8
Mezcal Los Siete Misterios Pechuga ,9.8
Chateau de Leberon 1964 Armagnac Ténarèze,9.8
Bowmore Mizunara Cask Finish,9.8
The Macallan M,9.8
Capovilla Liberation PMG RHUM,9.8
Brugal Papá Andrés 2015 Alegría Edition Rum,9.8
Navazos-Palazzi Montilla Old Brandy Single Cask (Bottled August 2013),9.8
Navazos-Palazzi Montilla Old Brandy Single Cask (Bottled August 2013),9.8
Jean & Roger Glemet 1979 Cognac,9.8
Del Maguey Arroqueño Mezcal,9.8
Fuenteseca Reserva Extra Añejo Tequila 9 Años,9.8
Port Ellen 32 Year 1979 (2012 Special Release),9.8
Thomas H. Handy Sazerac Rye (Fall 2015),9.8
William Larue Weller Bourbon (Fall 2015),9.8
The Balvenie Tun 1509 Batch 1,9.8
"Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""",9.8
Four Roses Limited Edition Single Barrel Bourbon (2013) ,9.8
The Macallan Rare Cask ,9.8
The Macallan Rare Cask ,9.8
Four Roses Limited Edition Single Barrel Bourbon (2014) ,9.8
The Macallan Fine Oak 21 Year,9.8
Thomas H. Handy Sazerac Rye (Fall 2014) ,9.8
Parker's Heritage Promise of Hope,9.8
Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured,9.7
Bowmore Vintner's Trilogy 26 Year French Oak Barrique,9.7
Sazerac Rye 18 Year (Fall 2017),9.7
Rutte Jonge Graanjenever,9.7
Beefeater London Dry Gin (47%),9.7
Eden Mill Love Gin,9.7
Eden Mill Love Gin,9.7
St. George Botanivore Gin,9.7
Charbay Brandy No. 83,9.7
Ardbeg 17 Year,9.7
Teeling Platinum Reserve 30 Year Single Malt,9.7
Bache-Gabrielsen Sérénité Extra Grande Champagne Cognac ,9.7
Hibiki 30 Year,9.7
Ñusta Pisco,9.7
Domaine d'Aurensan Armagnac 20 Ans,9.7
Ron Diplomático Ambassador Rum,9.7
Cognac Dudognon Vieille Réserve,9.7
Cognac Dudognon Vieille Réserve,9.7
Calvados Adrien Camut 18 Year ,9.7
Clase Azul Reposado Tequila,9.7
Dulce Vida Extra Añejo Tequila,9.7
Tequila Tapatio Excelencia Gran Reserva Lot 1,9.7
Laphroaig 32 Year ,9.7
El Jolgorio Arroqueño Mezcal,9.7
Glenmorangie 1970's Collection '77,9.7
Laphroaig Cairdeas 2013 Port Wood Edition,9.7
The Last Drop 48 Year Blended Scotch Whisky,9.7
Balblair 1983 1st Release ,9.7
Balblair 1983 1st Release ,9.7
Hirsch Selection 28 Year Bourbon,9.7
Oban 21 Year Cask Strength,9.7
Wild Turkey Diamond Anniversary Bourbon,9.7
Black Maple Hill 16 Year Bourbon,9.7
George T. Stagg Bourbon (Fall 2013),9.7
Highland Park 30 Year,9.7
Yamazaki 18 Year,9.7
Lark Single Malt Distiller's Selection,9.7
Bushmills 21 Year Single Malt,9.7
Compass Box Hedonism,9.7
Compass Box Hedonism,9.7
Mr Black Single Origin Colombia ,9.6
Mister Sam Blended Whiskey (2019 Release),9.6
Bunnahabhain 2005 Palo Cortado Cask Finish,9.6
Canadian Club Chronicles 41 Year,9.6
Amaro Montenegro,9.6
Red Spot 15 Year Single Pot Still,9.6
Pierre Ferrand Dry Curaçao,9.6
William Larue Weller Bourbon (Fall 2018),9.6
Old Forester Birthday Bourbon 2018,9.6
Catoctin Creek Rabble Rouser Rye Whiskey ,9.6
Catoctin Creek Rabble Rouser Rye Whiskey ,9.6
Tequila ArteNOM Selección de 1579 Blanco,9.6
Bruichladdich 1984/32 Bourbon: All In,9.6
Lock Stock & Barrel Straight Rye Whiskey 18 Year,9.6
Canadian Club 40 Year ,9.6
J.P. Wiser's 35 Year,9.6
Yamazaki 18 Year Mizunara Cask 2017 Edition,9.6
Chopin Wheat Vodka,9.6
Glenmorangie Grand Vintage 1990,9.6
Bowmore 50 Year 1961 ,9.6
Foursquare 2004 Single Blended Rum ,9.6
Foursquare 2004 Single Blended Rum ,9.6
Appleton Estate Joy Anniversary Blend,9.6
Don Amado Añejo Mezcal,9.6
J.P. Wiser's Union 52,9.6
Farmer's Botanical Organic Gin,9.6
Hernö Juniper Cask Gin,9.6
Four Roses Limited Edition Small Batch Bourbon (2016),9.6
William Larue Weller Bourbon (Fall 2016),9.6
Gran Patrón Burdeos Añejo Tequila,9.6
Ron Barceló Premium Imperial Blend 30 Aniversario,9.6
Arta Tequila Extra Añejo,9.6
Arta Tequila Extra Añejo,9.6
Panamá-Pacific Rum 23-Year,9.6
Yamazaki 25 Year,9.6
Real Minero Barril Mezcal,9.6
Appleton Estate 30 Year Rum ,9.6
Reisetbauer Carrot Eau-de-Vie,9.6
Octomore 07.3/169 Islay Barley,9.6
Lhéraud Cuvée 20 Cognac,9.6
The Macallan Reflexion,9.6
Four Roses Limited Edition Small Batch Bourbon (2015),9.6
El Dorado 25 Year Rum,9.6
El Dorado 25 Year Rum,9.6
Baron Gaston Legrand Bas Armagnac 1984,9.6
Mezcal Pierde Almas Wild Tepextate,9.6
Sotol Por Siempre,9.6
Koch el Mezcal Coyote,9.6
Tears of Llorona Extra Añejo Tequila,9.6
t1 Tequila Reposado Excepcional ,9.6
Corralejo Reposado Tequila ,9.6
Chinaco Añejo Tequila,9.6
El Jolgorio Tobalá Mezcal,9.6
Jack Daniel's Sinatra Century,9.6
Jack Daniel's Sinatra Century,9.6
Eagle Rare 17 Year Bourbon (Fall 2015),9.6
The Glenrothes Extraordinary Single Cask 1969 #11485,9.6
The Balvenie Tun 1509 Batch 2,9.6
La Diablada Puro Moscatel Pisco,9.6
Overeem Bourbon Cask Matured Single Malt Cask Strength ,9.6
Nikka Yoichi 20 Year,9.6
Laphroaig 15 Year 200th Anniversary ,9.6
Dalmore Constellation 1979 Cask 1093 33 Year,9.6
Balblair 1990 2nd Release,9.6
Woodford Reserve Master's Collection Four Wood Bourbon,9.6
Woodford Reserve Master's Collection Four Wood Bourbon,9.6
Benromach Vintage 1976,9.6
Laphroaig 30 Year,9.6
Eagle Rare 17 Year Bourbon (Fall 2014),9.6
Yellow Spot 12 Year Single Pot Still ,9.6
Booker's 25th Anniversary Bourbon,9.6
Redbreast 21 Year,9.6
William Larue Weller Bourbon (Fall 2013),9.6
Highland Park 40 Year,9.6
Nikka Yoichi 15 Year Single Malt,9.6
Willett Family Estate Bottled Rye 4 Year,9.6
Willett Family Estate Bottled Rye 4 Year,9.6
Talisker 10 Year,9.6
Glenglassaugh Evolution,9.6
Laphroaig 10 Year,9.6
Lagavulin Distillers Edition,9.6
Bowmore 18 Year,9.6
Evan Williams Single Barrel,9.6
Parker's Heritage Cognac Barrel Finish 10 Year Bourbon,9.6
J.P. Wiser's 23 Year Cask Strength Blend,9.5
Casa d'Aristi Xtabentun Honey Liqueur,9.5
GlenDronach Grandeur 27 Year Batch 10,9.5
GlenDronach Grandeur 27 Year Batch 10,9.5
Los Vecinos del Campo Espadin Mezcal,9.5
Drambuie,9.5
Fernet-Branca,9.5
Gooderham & Worts Eleven Souls,9.5
Russell's Reserve 2002 Kentucky Straight Bourbon,9.5
Wild Turkey Master's Keep Revival,9.5
Don Amado Largo Mezcal,9.5
Bruichladdich 1986/30 Sherry: The Magnificent Seven,9.5
Foursquare Triptych,9.5
Chichibu Whisky Matsuri 2017,9.5
Chichibu Whisky Matsuri 2017,9.5
Belvedere Single Estate Rye: Lake Bartężek,9.5
St. George Green Chile Vodka,9.5
Lot No. 40 12 Year Cask Strength ,9.5
Chichibu Japan Warrior Series Bottle One,9.5
Lagavulin 12 Year (2017 Special Release),9.5
Kilbeggan 21 Year,9.5
Stolichnaya Elit,9.5
ESP NOHO Gin,9.5
Mount Gay 1703 Master Select Rum,9.5
Don Q Signature Release Single Barrel 2005,9.5
Don Q Signature Release Single Barrel 2005,9.5
"Colonel E.H. Taylor, Jr. Four Grain Bottled-in-Bond",9.5
Patrón Cask Collection Sherry Añejo ,9.5
Mezcales de Leyenda Puebla,9.5
Cognac Park XO Extra,9.5
Drouet Hors d'Age Paradis de Famille,9.5
Glenkinchie 24 Year 1991 (2016 Special Release),9.5
