name,rating,type
Monkey 47 Dry Gin,9.9,Modern Gin
"Eric Bordelet Selection ""Henri Bernard Beudin"" 1997 Single Cask Calvados",9.9,Calvados
Cognac Dudognon Heritage,9.9,Cognac
Hibiki 21 Year,9.9,Blended
Hibiki 21 Year,9.9,Peated Single Malt
Highland Park 18 Year,9.9,Bourbon
George T. Stagg Bourbon (Fall 2019),9.8,Tequila Blanco
4 Copas Tequila Blanco,9.8,Mezcal Joven
Mezcal Los Siete Misterios Pechuga ,9.8,Armagnac
Chateau de Leberon 1964 Armagnac Ténarèze,9.8,Peated Single Malt
Bowmore Mizunara Cask Finish,9.8,Single Malt
The Macallan M,9.8,Rhum Agricole Vieux
Capovilla Liberation PMG RHUM,9.8,Aged Rum
Brugal Papá Andrés 2015 Alegría Edition Rum,9.8,Spanish
Navazos-Palazzi Montilla Old Brandy Single Cask (Bottled August 2013),9.8,Cognac
Navazos-Palazzi Montilla Old Brandy Single Cask (Bottled August 2013),9.8,Mezcal Joven
Jean & Roger Glemet 1979 Cognac,9.8,Tequila Extra Añejo
Del Maguey Arroqueño Mezcal,9.8,Peated Single Malt
Fuenteseca Reserva Extra Añejo Tequila 9 Años,9.8,Rye
Port Ellen 32 Year 1979 (2012 Special Release),9.8,Bourbon
Thomas H. Handy Sazerac Rye (Fall 2015),9.8,Single Malt
William Larue Weller Bourbon (Fall 2015),9.8,Bourbon
The Balvenie Tun 1509 Batch 1,9.8,Bourbon
"Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""",9.8,Single Malt
Four Roses Limited Edition Single Barrel Bourbon (2013) ,9.8,Bourbon
The Macallan Rare Cask ,9.8,Single Malt
The Macallan Rare Cask ,9.8,Rye
Four Roses Limited Edition Single Barrel Bourbon (2014) ,9.8,Bourbon
The Macallan Fine Oak 21 Year,9.8,Peated Single Malt
Thomas H. Handy Sazerac Rye (Fall 2014) ,9.8,Peated Single Malt
Parker's Heritage Promise of Hope,9.8,Rye
Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured,9.7,Genever
Bowmore Vintner's Trilogy 26 Year French Oak Barrique,9.7,London Dry Gin
Sazerac Rye 18 Year (Fall 2017),9.7,Modern Gin
Rutte Jonge Graanjenever,9.7,Modern Gin
Beefeater London Dry Gin (47%),9.7,American Brandy
Eden Mill Love Gin,9.7,Peated Single Malt
Eden Mill Love Gin,9.7,Single Malt
St. George Botanivore Gin,9.7,Cognac
Charbay Brandy No. 83,9.7,Blended
Ardbeg 17 Year,9.7,Pisco 
Teeling Platinum Reserve 30 Year Single Malt,9.7,Armagnac
Bache-Gabrielsen Sérénité Extra Grande Champagne Cognac ,9.7,Aged Rum
Hibiki 30 Year,9.7,Cognac
Ñusta Pisco,9.7,Calvados
Domaine d'Aurensan Armagnac 20 Ans,9.7,Tequila Reposado
Ron Diplomático Ambassador Rum,9.7,Tequila Extra Añejo
Cognac Dudognon Vieille Réserve,9.7,Tequila Extra Añejo
Cognac Dudognon Vieille Réserve,9.7,Peated Single Malt
Calvados Adrien Camut 18 Year ,9.7,Mezcal Joven
Clase Azul Reposado Tequila,9.7,Single Malt
Dulce Vida Extra Añejo Tequila,9.7,Peated Single Malt
Tequila Tapatio Excelencia Gran Reserva Lot 1,9.7,Blended
Laphroaig 32 Year ,9.7,Single Malt
El Jolgorio Arroqueño Mezcal,9.7,Bourbon
Glenmorangie 1970's Collection '77,9.7,Peated Single Malt
Laphroaig Cairdeas 2013 Port Wood Edition,9.7,Bourbon
The Last Drop 48 Year Blended Scotch Whisky,9.7,Bourbon
Balblair 1983 1st Release ,9.7,Bourbon
Balblair 1983 1st Release ,9.7,Peated Single Malt
Hirsch Selection 28 Year Bourbon,9.7,Single Malt
Oban 21 Year Cask Strength,9.7,Peated Single Malt
Wild Turkey Diamond Anniversary Bourbon,9.7,Single Malt
Black Maple Hill 16 Year Bourbon,9.7,Blended Grain
George T. Stagg Bourbon (Fall 2013),9.7,Coffee Liqueurs
Highland Park 30 Year,9.7,Other Whiskey
Yamazaki 18 Year,9.7,Peated Single Malt
Lark Single Malt Distiller's Selection,9.7,Canadian
Bushmills 21 Year Single Malt,9.7,Amaro
Compass Box Hedonism,9.7,Single Pot Still
Compass Box Hedonism,9.7,Triple Sec/Curaçao
Mr Black Single Origin Colombia ,9.6,Bourbon
Mister Sam Blended Whiskey (2019 Release),9.6,Bourbon
