name,rating,type
Ledaig 42yo Dusgadh,9.48,Malt
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)",9.42,Malt
Glenfarclas 40yo,9.3,Malt
Aberlour A'Bunadh (Batch 56),9.25,Malt
Glengoyne 25yo,9.25,Malt
Amrut Spectrum (Batch 1),9.22,Malt
Highland Park 25yo,9.2,Malt
Highland Park 40yo,9.16,Malt
Tamdhu 30yo (MacPhail Collection 2009),9.16,Malt
Balvenie TUN 1401 (all batches),9.15,Malt
Aberlour A'Bunadh (Batch 33),9.14,Malt
Highland Park 30yo,9.14,Malt
Aberlour A'Bunadh (Batch 37),9.13,Malt
Laphroaig 25yo,9.13,Malt
Nikka Single Cask Coffey Malt 12yo,9.12,Malt
Yamazaki 18yo,9.12,Malt
Aberlour A'Bunadh (Batch 40),9.11,Malt
Redbreast 21yo,9.11,Malt
Aberlour A'Bunadh (Batch 49),9.09,Malt
Bruichladdich 21yo Cuvée 407 PX,9.09,Malt
Compass Box Last Vatted Malt,9.09,Malt
Yamazaki Sherry Cask (all vintages),9.09,Malt
Amrut Greedy Angels (8yo and 10yo),9.07,Malt
Amrut Spectrum (all batches),9.07,Malt
BenRiach 18yo Albariza Pedro Ximenez Peated,9.07,Malt
Highland Park 16yo Odin,9.07,Malt
Bowmore Springtide,9.06,Malt
Kavalan Solist PX Cask,9.06,Malt
GlenDronach Cask Strength (batch 1),9.05,Malt
GlenDronach Cask Strength (batch 2),9.05,Malt
Kavalan Solist Vinho Barrique,9.05,Malt
Macallan Cask Strength,9.05,Malt
Aberlour A'Bunadh (Batch 52),9.04,Malt
Aberlour A'Bunadh (Batch 53),9.04,Malt
Highland Park 18yo,9.04,Malt
Timorous Beastie 21yo Sherry Edition,9.04,Malt
Aberlour A'Bunadh (Batch 39),9.03,Malt
Aberlour A'Bunadh (Batch 45),9.03,Malt
GlenDronach vintage 20yo Single Cask (all vintages),9.03,Malt
Highland Park 17yo The Dark,9.03,Malt
Karuizawa 1990 Sherry Butt,9.03,Malt
Sheep Dip Old Hebridean 1990 Blended Malt,9.03,Malt
Amrut Spectrum 004 (Batch 2),9.02,Malt
Kavalan Solist Manzanilla Cask,9.02,Malt
Springbank 21yo,9.02,Malt
Kavalan Solist Amontillado Cask,9.01,Malt
Aberlour A'Bunadh (Batch 35),9.0,Malt
Arran Malt 21st Anniversary Edition,9.0,Malt
BenRiach 17yo Solstice Peated Port (both editions),9.0,Malt
Benromach 10yo Cask Strength (100 proof),9.0,Malt
Bunnahabhain 18yo,9.0,Malt
Laphroaig Cairdeas 2013 Port Wood,9.0,Malt
GlenDronach vintage 19yo Single Cask (all vintages),8.99,Malt
Nikka Taketsuru 21yo,8.99,Malt
Timorous Beastie 40yo Cask Strength,8.99,Malt
Aberlour A'Bunadh (Batch 42),8.98,Malt
Bladnoch 12yo Sherry Cask (Sheep label),8.98,Malt
Glenlivet Alpha,8.98,Malt
Aberlour A'Bunadh (Batch 36),8.97,Malt
Aberlour A'Bunadh (Batch 58),8.97,Malt
Amrut PX Sherry Single Cask 2696 (LCBO),8.97,Malt
Bowmore 15yo Laimrig,8.97,Malt
Bushmills 21yo Single Malt,8.97,Malt
Highland Park 15yo Loki,8.97,Malt
Kavalan Solist Sherry Cask,8.97,Malt
Kilchoman Port Cask Matured,8.97,Malt
AnCnoc 1975,8.96,Malt
BenRiach 17yo Solstice 2nd Peated Port Finish,8.96,Malt
Glenmorangie Signet,8.96,Malt
Aberlour A'Bunadh (Batch 30),8.95,Malt
Amrut Portonova,8.95,Malt
Hakushu Sherry Cask,8.95,Malt
Amrut Madeira Cask Finish (Batch 1),8.94,Malt
Aberlour A'Bunadh (all batches),8.93,Malt
Kavalan Solist Port Cask,8.93,Malt
Macallan 18yo Sherry Oak,8.93,Malt
Tomatin 40yo,8.93,Malt
Bunnahabhain 25yo,8.92,Malt
Highland Park 21yo,8.92,Malt
Balvenie TUN 1509 (all batches),8.91,Malt
BenRiach 35yo,8.91,Malt
GlenDronach Cask Strength (batch 4),8.91,Malt
Glenlivet XXV 25yo,8.91,Malt
Aberlour A'Bunadh (Batch 47),8.9,Malt
BenRiach 17yo Solstice 1st Peated Port Finish,8.9,Malt
Glengoyne 21yo,8.9,Malt
Glengoyne 40yo,8.9,Malt
Aberlour A'Bunadh (Batch 54),8.89,Malt
Amrut Intermediate Sherry,8.89,Malt
Amrut Kadhambam,8.89,Malt
Highland Park 16yo Thor,8.89,Malt
Springbank 12yo Cask Strength,8.89,Malt
Aberlour A'Bunadh (Batch 46),8.88,Malt
Kilchoman PX Sherry Finish,8.88,Malt
Macallan 10yo Sherry Oak Cask Strength,8.88,Malt
Amrut PX Sherry Single Cask 3516 (SAQ),8.87,Malt
Bruichladdich Port Charlotte 2009 MC:01,8.87,Malt
Compass Box This is Not a Luxury Whisky,8.87,Malt
Kilchoman Loch Gorm,8.87,Malt
Macallan 25yo Sherry Oak,8.87,Malt
Aberlour A'Bunadh (Batch 34),8.86,Malt
GlenDronach Cask Strength (all batches),8.86,Malt
GlenDronach Cask Strength (batch 3),8.86,Malt
Glenrothes 25yo,8.86,Malt
Scallywag 13yo,8.86,Malt
Bowmore 25yo,8.85,Malt
Glen Garioch 1998 Wine Cask Matured,8.85,Malt
GlenDronach 15yo Revival,8.85,Malt
Glenlivet Nadurra 16yo,8.85,Malt
Green Spot Chateau Leoville Barton,8.85,Blend
Smogen Sherry Project 1:2,8.85,Malt
White Oak Akashi 14yo,8.85,Malt
Aberlour 12yo Non-Chill-Filtered,8.84,Malt
Aberlour A'Bunadh (Batch 61),8.84,Malt
BenRiach 18yo Latada,8.84,Malt
Box (High Coast) PX - Pedro Ximénez Finish,8.84,Malt
Bunnahabhain 14yo 2003 Pedro Ximenez Finish,8.84,Malt
GlenDronach 12yo Sauternes Cask Finish,8.84,Malt
GlenDronach Cask Strength (batch 6),8.84,Malt
Longrow Red 11yo Port Cask,8.84,Malt
Longrow Red 12yo Pinot Noir Finish,8.84,Malt
Balblair 1990 Second Release,8.83,Malt
Ben Nevis 10yo (post-2017),8.83,Malt
Kavalan Solist Fino Sherry Cask,8.83,Malt
Aberlour A'Bunadh (Batch 32),8.82,Malt
Aberlour A'Bunadh (Batch 59),8.82,Malt
Box (High Coast) Dalvve Sherry Influence,8.82,Malt
Glenmorangie Companta,8.82,Malt
Smogen Sherry Project 1:4,8.82,Malt
Aberlour A'Bunadh (Batch 60),8.81,Malt
Amrut PX Sherry Single Cask (all casks),8.81,Malt
GlenDronach 18yo Allardice,8.81,Malt
Glenlivet Nadurra Cask Strength (NAS),8.81,Malt
Laphroaig PX Triple Matured,8.81,Malt
