name,rating,type
2bar Straight Bourbon Whiskey,8.5,Bourbon
1792 Full Proof,9.1,Bourbon
1792 Full Proof Single Barrel (Kroger),8.9,Bourbon
1792 Full Proof Single Barrel (The Bourbon Society),9.4,Bourbon
1792 Single Barrel,8.8,Bourbon
1792 Small Batch (formerly Ridgemont Reserve),8.6,Bourbon
1792 Sweet Wheat,8.9,Bourbon
A Midwinter Nights Dram 2.9/710,9.0,Rye
A Midwinter Nights Dram 5.5,9.2,Rye
A.D. Laws Hordeum   ,7.9,American SIngle Malt
Akashi White Oak Blended Whisky ,7.5,Japanese Whisky
American Prairie,8.8,Bourbon
Ancient Age 80,7.5,Bourbon
Ancient Age 90,7.9,Bourbon
Ancient Ancient Age 10 Star,8.0,Bourbon
Ardbeg 10 Year,8.55,Scotch
Ardbeg Corryvreckan,9.1,Scotch
Ardbeg Dark Cove,8.6,Scotch
Ardbeg Drum Committee Release,8.55,Scotch
Ardbeg Drum Standard Release,8.35,Scotch
Ardbeg Grooves,9.35,Scotch
Ardbeg Kelpie,9.1,Scotch
Ardbeg Supernova Committee Release (2019),9.35,Scotch
Ardbeg Uigeadail,9.2,Scotch
Auchentoshan 18 Year Old,8.1,Scotch
Bad Guy Batch #3,9.0,Bourbon
Baker's ,8.6,Bourbon
Balcones Texas Single Malt ,8.85,American Single Malt
Barrell Bourbon Batch 10,9.3,Bourbon
Barrell Bourbon Batch 13,8.3,Bourbon
Barrell Bourbon Batch 15,9.0,Bourbon
Barrell Bourbon Batch 019,9.0,Bourbon
Barrell Dovetail,9.1,Finished Whiskey
Barrell Whiskey American Vatted Malt,8.5,American Malt Whiskey
Barrell Whiskey Batch 005,9.0,Whiskey
Barterhouse,8.5,Bourbon
Basil Hayden's,8.2,Bourbon
Basil Hayden's Two by Two Rye,7.8,Bourye
Belle Meade Select Cask Madeira Finished Bourbon,9.4,Finished Bourbon
Belle Meade Sherry Cask Finished Bourbon,9.2,Finished Bourbon
Bernheim Wheat Whiskey (private barrel selection),8.3,Wheat Whiskey
Bernheim Wheat Whiskey Liquor Barn Private Selection,8.8,Wheat Whiskey
Bernheim  Wheat Whiskey Small Batch (Comparison Review),8.7,Wheat Whiskey
Big Peat Drinks by the Dram Edition,8.5,Scotch
Black Ridge,8.5,Bourbon
Blade & Bow,8.8,Bourbon
Blade & Bow 22 Year,9.0,Bourbon
Blanton's,8.9,Bourbon
Blanton's Straight from the Barrel - Barrel #928,9.0,Bourbon
Booker's,9.0,Bourbon
Booker's Rye,9.4,Rye
Bruichladdich Islay Barley Rockside Farm 2007,8.5,Scotch
Bruichladdich Octomore 8.1,8.85,Scotch
Bruichladdich Octomore 10.3,9.45,Scotch
Bruichladdich Port Charlotte Islay Barley Heavily Peated,8.7,Scotch
Bruichladdich Port Charlotte Scottish Barley Heavily Peated,8.5,Scotch
Bruichladdich Scottish Barley The Classic Laddie,8.5,Scotch
Buffalo Trace,8.8,Bourbon
Bulleit 10 Year Bourbon,8.8,Bourbon
Bulleit Barrel Strength Bourbon,8.9,Bourbon
Bulleit Bourbon,8.6,Bourbon
Bulleit Bourbon Single Barrel,8.8,Bourbon
Bulleit Rye,8.7,Rye
Butterface,8.3,Bourbon
Caol Ila Distillers Edition Moscatel Cask Finish (2015),8.8,Scotch
Cedar Ridge Single Malt finished in a Port Cask,6.6,American SIngle Malt
Climax Wood Fired Whiskey,6.9,Whiskey
"Col. E. H. Taylor, Jr. Single Barrel",8.8,Bourbon
"Col. E. H. Taylor, Jr. Small Batch",8.8,Bourbon
"Colonel E. H. Taylor, Jr. Barrel Proof (2014)",9.2,Bourbon
Compass Box Juveniles,9.2,Scotch
Compass Box Phenomenology,9.3,Scotch
Connemara Peated Single Malt ,8.1,Irish Whiskey
Coopers' Craft,8.4,Bourbon
Coopers' Craft Barrel Reserve,8.0,Bourbon
Dailuaine 16 Year Old Flora and Fauna,8.1,Scotch
Dalwhinnie 25 Year Old 1989 (Special Release 2015),8.6,Scotch
David Nicholson 1843,8.6,Bourbon
David Nicholson Reserve,8.7,Bourbon
Deanston 18 Year Old,8.5,Scotch
 Deerhammer Single Malt,8.0,American SIngle Malt
Double Rye!,9.0,Rye
Eagle Rare (2014 Label/Batched),8.4,Bourbon
"Eagle Rare (Pre 2014 Label, Single Barrel)",8.9,Bourbon
Early Times Bottled in Bond Bourbon,8.7,Bourbon
Egan's 10 Year Single Malt,8.7,Irish Whiskey
Egan's Vintage Grain Irish Whiskey,8.6,Irish Whiskey
Eight and Sand,8.8,Blended Bourbon
Eighteen 33,8.6,Bourbon
Elijah Craig Barrel Proof Batch A119,9.3,Bourbon
Elijah Craig Barrel Proof Batch B514 134.8°,9.1,Bourbon
Elijah Craig Barrel Proof Batch B516 139.4° (Bill),8.8,Bourbon
Elijah Craig Barrel Proof Batch B516 139.4° (Wes),8.8,Bourbon
Elijah Craig Barrel Proof Batch B517 124.2°,9.2,Bourbon
Elijah Craig Barrel Proof Batch B519 122.2°,9.0,Bourbon
Elijah Craig Barrel Proof Batch C917 131°,9.1,Bourbon
Elijah Craig Barrel Proof Batch C918 131.4°,9.3,Bourbon
Elijah Craig Barrel Proof Batch C919 136.8°,9.0,Bourbon
Elijah Craig Barrel Select 125,8.2,Bourbon
Elijah Craig Small Batch (12 Year),8.9,Bourbon
Elmer T. Lee,8.9,Bourbon
Epoch Rye,8.6,Rye
Evan Williams 1783,8.5,Bourbon
Evan Williams (Black Label),8.2,Bourbon
Evan Williams Barrel Proof,9.1,Bourbon
Evan Williams Bottled in Bond (White Label),8.6,Bourbon
Evan Williams Master Distillers Select,8.8,Bourbon
Evan Williams Single Barrel Vintage 2003,8.8,Bourbon
Evan Williams Single Barrel Vintage 2004 (Society selection),8.9,Bourbon
Ezra B Single Barrel 12 Year,8.8,Bourbon
Ezra Brooks Straight Rye,8.1,Bourbon
Flatboat,8.7,Bourbon
Forged Oak,8.9,Bourbon
Four Roses LE Small Batch 125th Anniversary (2013),9.6,Bourbon
Four Roses LE Small Batch  (2014),9.2,Bourbon
Four Roses LE Small Batch  (2016),9.3,Bourbon
"Four Roses Limited Edition Single Barrel (2014), OESF",9.5,Bourbon
Four Roses Single Barrel,8.8,Bourbon
Four Roses Single Barrel Private Selection Barrel Strength OBSV (Whiskey Women/Liquor Barn),8.9,Bourbon
Four Roses Single Barrel Private Selection Barrel Strength OESF (Liquor Barn),9.4,Bourbon
