name,rating
(ri)1,7.5
1512 Barbershop Rye,7.2
1792 Full Proof,8.5
1792 Ridgemont Reserve,7.2
200th Anniversary Evan Williams,8.5
"A.H. Hirsch 16 ""Gold Foil""",8.8
A.H. Hirsch Finest Reserve 20,8.8
AA Special Whiskey No. 19 Cosmopolitan Hotel ,8.5
Aberfeldy 12,8.1
Aberfeldy 1978 Glenhaven,8.8
Aberfeldy 1997 Cadenhead,8.5
Aberfeldy 1998 Signatory,8.1
Aberfeldy 21 ,8.8
Aberlour 12 Double Cask Matured,7.5
Aberlour 12 V.O.H.M,7.8
Aberlour 12 Year Old Non Chill-filtered,8.5
Aberlour 15,8.5
Aberlour 16,8.1
Aberlour 16 Loch Chaim,7.5
Aberlour 17 (The Whisky Exchange),8.8
Aberlour 18 year ,8.1
Aberlour 1970 ,8.8
Aberlour 1985 Warehouse No. 1,8.1
Aberlour 1991 A.D. Rattray K&L,8.5
Aberlour 1993 NC2,7.8
Aberlour 1994 Carn Mor Strictly Limited,8.5
Aberlour 2000 Exclusive Malts,8.1
Aberlour 2001 White Oak,7.8
Aberlour 21,8.5
Aberlour 8 (1970's),8.5
Aberlour A'Bunadh (Batch 12),8.8
Aberlour A'Bunadh (Batch 15),8.1
Aberlour A'Bunadh (Batch 16),8.8
Aberlour A'Bunadh (Batch 18),8.5
Aberlour A'Bunadh (Batch 21),8.5
Aberlour A'Bunadh (Batch 23),8.8
Aberlour A'Bunadh (Batch 29),8.5
Aberlour A'Bunadh (Batch 30),8.5
Aberlour A'Bunadh (Batch 45),8.5
Aberlour A'Bunadh (Batch 6),8.8
Aberlour A'bunadh Batch 14,8.8
Aberlour A'bunadh Batch 39,8.8
Aberlour A'bunadh Batch 46,8.5
Aberlour A'bunadh Batch 47,8.5
Aberlour A'bunadh Batch 50,8.5
Aberlour-Glenlivet 12 (Circa 1970's),7.5
Aberlour-Glenlivet 1970 Signatory Vintage,8.1
Abhainn Dearg First Bottling,8.1
Abraham Bowman 17 (The Party Source),8.5
Abraham Bowman 19 yo The Party Source,9.1
Abraham Bowman 9 yo Rye,8.5
Abraham Bowman Bourbon (Barrel 1),8.8
Abraham Bowman Gift Shop,9.1
Abraham Bowman Gingerbread Beer Finished,8.1
Abraham Bowman Last Millennium,8.5
Abraham Bowman Port Finished Bourbon,8.1
Abraham Bowman Rye (The Party Source),9.1
