,name,rating
0,"
Monkey 47 Dry Gin
","
99
"
1,"
Eric Bordelet Selection ""Henri Bernard Beudin"" 1997 Single Cask Calvados
","
99
"
2,"
Cognac Dudognon Heritage
","
99
"
3,"
Hibiki 21 Year
","
99
"
4,"
Hibiki 21 Year
","
99
"
5,"
Highland Park 18 Year
","
99
"
6,"
George T. Stagg Bourbon (Fall 2019)
","
98
"
7,"
4 Copas Tequila Blanco
","
98
"
8,"
Mezcal Los Siete Misterios Pechuga 
","
98
"
9,"
Chateau de Leberon 1964 Armagnac Ténarèze
","
98
"
10,"
Bowmore Mizunara Cask Finish
","
98
"
11,"
The Macallan M
","
98
"
12,"
Capovilla Liberation PMG RHUM
","
98
"
13,"
Brugal Papá Andrés 2015 Alegría Edition Rum
","
98
"
14,"
Navazos-Palazzi Montilla Old Brandy Single Cask (Bottled August 2013)
","
98
"
15,"
Navazos-Palazzi Montilla Old Brandy Single Cask (Bottled August 2013)
","
98
"
16,"
Jean & Roger Glemet 1979 Cognac
","
98
"
17,"
Del Maguey Arroqueño Mezcal
","
98
"
18,"
Fuenteseca Reserva Extra Añejo Tequila 9 Años
","
98
"
19,"
Port Ellen 32 Year 1979 (2012 Special Release)
","
98
"
20,"
Thomas H. Handy Sazerac Rye (Fall 2015)
","
98
"
21,"
William Larue Weller Bourbon (Fall 2015)
","
98
"
22,"
The Balvenie Tun 1509 Batch 1
","
98
"
23,"
Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""
","
98
"
24,"
Four Roses Limited Edition Single Barrel Bourbon (2013) 
","
98
"
25,"
The Macallan Rare Cask 
","
98
"
26,"
The Macallan Rare Cask 
","
98
"
27,"
Four Roses Limited Edition Single Barrel Bourbon (2014) 
","
98
"
28,"
The Macallan Fine Oak 21 Year
","
98
"
29,"
Thomas H. Handy Sazerac Rye (Fall 2014) 
","
98
"
30,"
Parker's Heritage Promise of Hope
","
98
"
31,"
Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured
","
97
"
32,"
Bowmore Vintner's Trilogy 26 Year French Oak Barrique
","
97
"
33,"
Sazerac Rye 18 Year (Fall 2017)
","
97
"
34,"
Rutte Jonge Graanjenever
","
97
"
35,"
Beefeater London Dry Gin (47%)
","
97
"
36,"
Eden Mill Love Gin
","
97
"
37,"
Eden Mill Love Gin
","
97
"
38,"
St. George Botanivore Gin
","
97
"
39,"
Charbay Brandy No. 83
","
97
"
40,"
Ardbeg 17 Year
","
97
"
41,"
Teeling Platinum Reserve 30 Year Single Malt
","
97
"
42,"
Bache-Gabrielsen Sérénité Extra Grande Champagne Cognac 
","
97
"
43,"
Hibiki 30 Year
","
97
"
44,"
Ñusta Pisco
","
97
"
45,"
Domaine d'Aurensan Armagnac 20 Ans
","
97
"
46,"
Ron Diplomático Ambassador Rum
","
97
"
47,"
Cognac Dudognon Vieille Réserve
","
97
"
48,"
Cognac Dudognon Vieille Réserve
","
97
"
49,"
Calvados Adrien Camut 18 Year 
","
97
"
50,"
Clase Azul Reposado Tequila
","
97
"
51,"
Dulce Vida Extra Añejo Tequila
","
97
"
52,"
Tequila Tapatio Excelencia Gran Reserva Lot 1
","
97
"
53,"
Laphroaig 32 Year 
","
97
"
54,"
El Jolgorio Arroqueño Mezcal
","
97
"
55,"
Glenmorangie 1970's Collection '77
","
97
"
56,"
Laphroaig Cairdeas 2013 Port Wood Edition
","
97
"
57,"
The Last Drop 48 Year Blended Scotch Whisky
","
97
"
58,"
Balblair 1983 1st Release 
","
97
"
59,"
Balblair 1983 1st Release 
","
97
"
60,"
Hirsch Selection 28 Year Bourbon
","
97
"
61,"
Oban 21 Year Cask Strength
","
97
"
62,"
Wild Turkey Diamond Anniversary Bourbon
","
97
"
63,"
Black Maple Hill 16 Year Bourbon
","
97
"
64,"
George T. Stagg Bourbon (Fall 2013)
","
97
"
65,"
Highland Park 30 Year
","
97
"
66,"
Yamazaki 18 Year
","
97
"
67,"
Lark Single Malt Distiller's Selection
","
97
"
68,"
Bushmills 21 Year Single Malt
","
97
"
69,"
Compass Box Hedonism
","
97
"
70,"
Compass Box Hedonism
","
97
"
71,"
Mr Black Single Origin Colombia 
","
96
"
72,"
Mister Sam Blended Whiskey (2019 Release)
","
96
"
73,"
Bunnahabhain 2005 Palo Cortado Cask Finish
","
96
"
74,"
Canadian Club Chronicles 41 Year
","
96
"
75,"
Amaro Montenegro
","
96
"
76,"
Red Spot 15 Year Single Pot Still
","
96
"
77,"
Pierre Ferrand Dry Curaçao
","
96
"
78,"
William Larue Weller Bourbon (Fall 2018)
","
96
"
79,"
Old Forester Birthday Bourbon 2018
","
96
"
80,"
Catoctin Creek Rabble Rouser Rye Whiskey 
","
96
"
81,"
Catoctin Creek Rabble Rouser Rye Whiskey 
","
96
"
82,"
Tequila ArteNOM Selección de 1579 Blanco
","
96
"
83,"
Bruichladdich 1984/32 Bourbon: All In
","
96
"
84,"
Lock Stock & Barrel Straight Rye Whiskey 18 Year
","
96
"
85,"
Canadian Club 40 Year 
","
96
"
86,"
J.P. Wiser's 35 Year
","
96
"
87,"
Yamazaki 18 Year Mizunara Cask 2017 Edition
","
96
"
88,"
Chopin Wheat Vodka
","
96
"
89,"
Glenmorangie Grand Vintage 1990
","
96
"
90,"
Bowmore 50 Year 1961 
","
96
"
91,"
Foursquare 2004 Single Blended Rum 
","
96
"
92,"
Foursquare 2004 Single Blended Rum 
","
96
"
93,"
Appleton Estate Joy Anniversary Blend
","
96
"
94,"
Don Amado Añejo Mezcal
","
96
"
95,"
J.P. Wiser's Union 52
","
96
"
96,"
Farmer's Botanical Organic Gin
","
96
"
97,"
Hernö Juniper Cask Gin
","
96
"
98,"
Four Roses Limited Edition Small Batch Bourbon (2016)
","
96
"
99,"
William Larue Weller Bourbon (Fall 2016)
","
96
"
100,"
Gran Patrón Burdeos Añejo Tequila
","
96
"
101,"
Ron Barceló Premium Imperial Blend 30 Aniversario
","
96
"
102,"
Arta Tequila Extra Añejo
","
96
"
103,"
Arta Tequila Extra Añejo
","
96
"
104,"
Panamá-Pacific Rum 23-Year
","
96
"
105,"
Yamazaki 25 Year
","
96
"
106,"
Real Minero Barril Mezcal
","
96
"
107,"
Appleton Estate 30 Year Rum 
","
96
"
108,"
Reisetbauer Carrot Eau-de-Vie
","
96
"
109,"
Octomore 07.3/169 Islay Barley
","
96
"
110,"
Lhéraud Cuvée 20 Cognac
","
96
"
111,"
The Macallan Reflexion
","
96
"
112,"
Four Roses Limited Edition Small Batch Bourbon (2015)
","
96
"
113,"
El Dorado 25 Year Rum
","
96
"
114,"
El Dorado 25 Year Rum
","
96
"
115,"
Baron Gaston Legrand Bas Armagnac 1984
","
96
"
116,"
Mezcal Pierde Almas Wild Tepextate
","
96
"
117,"
Sotol Por Siempre
","
96
"
118,"
Koch el Mezcal Coyote
","
96
"
119,"
Tears of Llorona Extra Añejo Tequila
","
96
"
120,"
t1 Tequila Reposado Excepcional 
","
96
"
121,"
Corralejo Reposado Tequila 
","
96
"
122,"
Chinaco Añejo Tequila
","
96
"
123,"
El Jolgorio Tobalá Mezcal
","
96
"
124,"
Jack Daniel's Sinatra Century
","
96
"
125,"
Jack Daniel's Sinatra Century
","
96
"
126,"
Eagle Rare 17 Year Bourbon (Fall 2015)
","
96
"
127,"
The Glenrothes Extraordinary Single Cask 1969 #11485
","
96
"
128,"
The Balvenie Tun 1509 Batch 2
","
96
"
129,"
La Diablada Puro Moscatel Pisco
","
96
"
130,"
Overeem Bourbon Cask Matured Single Malt Cask Strength 
","
96
"
131,"
Nikka Yoichi 20 Year
","
96
"
132,"
Laphroaig 15 Year 200th Anniversary 
","
96
"
133,"
Dalmore Constellation 1979 Cask 1093 33 Year
","
96
"
134,"
Balblair 1990 2nd Release
","
96
"
135,"
Woodford Reserve Master's Collection Four Wood Bourbon
","
96
"
136,"
Woodford Reserve Master's Collection Four Wood Bourbon
","
96
"
137,"
Benromach Vintage 1976
","
96
"
138,"
Laphroaig 30 Year
","
96
"
139,"
Eagle Rare 17 Year Bourbon (Fall 2014)
","
96
"
140,"
Yellow Spot 12 Year Single Pot Still 
","
96
"
141,"
Booker's 25th Anniversary Bourbon
","
96
"
142,"
Redbreast 21 Year
","
96
"
143,"
William Larue Weller Bourbon (Fall 2013)
","
96
"
144,"
Highland Park 40 Year
","
96
"
145,"
Nikka Yoichi 15 Year Single Malt
","
96
"
146,"
Willett Family Estate Bottled Rye 4 Year
","
96
"
147,"
Willett Family Estate Bottled Rye 4 Year
","
96
"
148,"
Talisker 10 Year
","
96
"
149,"
Glenglassaugh Evolution
","
96
"
150,"
Laphroaig 10 Year
","
96
"
151,"
Lagavulin Distillers Edition
","
96
"
152,"
Bowmore 18 Year
","
96
"
153,"
Evan Williams Single Barrel
","
96
"
154,"
Parker's Heritage Cognac Barrel Finish 10 Year Bourbon
","
96
"
155,"
J.P. Wiser's 23 Year Cask Strength Blend
","
95
"
156,"
Casa d'Aristi Xtabentun Honey Liqueur
","
95
"
157,"
GlenDronach Grandeur 27 Year Batch 10
","
95
"
158,"
GlenDronach Grandeur 27 Year Batch 10
","
95
"
159,"
Los Vecinos del Campo Espadin Mezcal
","
95
"
160,"
Drambuie
","
95
"
161,"
Fernet-Branca
","
95
"
162,"
Gooderham & Worts Eleven Souls
","
95
"
163,"
Russell's Reserve 2002 Kentucky Straight Bourbon
","
95
"
164,"
Wild Turkey Master's Keep Revival
","
95
"
165,"
Don Amado Largo Mezcal
","
95
"
166,"
Bruichladdich 1986/30 Sherry: The Magnificent Seven
","
95
"
167,"
Foursquare Triptych
","
95
"
168,"
Chichibu Whisky Matsuri 2017
","
95
"
169,"
Chichibu Whisky Matsuri 2017
","
95
"
170,"
Belvedere Single Estate Rye: Lake Bartężek
","
95
"
171,"
St. George Green Chile Vodka
","
95
"
172,"
Lot No. 40 12 Year Cask Strength 
","
95
"
173,"
Chichibu Japan Warrior Series Bottle One
","
95
"
174,"
Lagavulin 12 Year (2017 Special Release)
","
95
"
