"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Ledaig 42yo Dusgadh","9.48","0.23","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)","9.42","0.22","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 40yo","9.30","0.27","17","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 56)","9.25","0.24","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 25yo","9.25","0.22","21","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Spectrum (Batch 1)","9.22","0.24","14","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 25yo","9.20","0.17","17","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 40yo","9.16","0.44","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Tamdhu 30yo (MacPhail Collection 2009)","9.16","0.18","3","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1401 (all batches)","9.15","0.30","19","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 33)","9.14","0.14","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 30yo","9.14","0.41","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.13","0.10","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Laphroaig 25yo","9.13","0.28","23","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.12","0.49","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Yamazaki 18yo","9.12","0.27","23","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 40)","9.11","0.15","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Redbreast 21yo","9.11","0.31","20","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
