name,rating
(ri)1,"
      C      "
1512 Barbershop Rye,"
      C-      "
1792 Full Proof,"
      B      "
1792 Ridgemont Reserve,"
      C-      "
200th Anniversary Evan Williams,"
      B      "
"A.H. Hirsch 16 ""Gold Foil""","
      B+      "
A.H. Hirsch Finest Reserve 20,"
      B+      "
AA Special Whiskey No. 19 Cosmopolitan Hotel ,"
      B      "
Aberfeldy 12,"
      B-      "
Aberfeldy 1978 Glenhaven,"
      B+      "
Aberfeldy 1997 Cadenhead,"
      B      "
Aberfeldy 1998 Signatory,"
      B-      "
Aberfeldy 21 ,"
      B+      "
Aberlour 12 Double Cask Matured,"
      C      "
Aberlour 12 V.O.H.M,"
      C+      "
Aberlour 12 Year Old Non Chill-filtered,"
      B      "
Aberlour 15,"
      B      "
Aberlour 16,"
      B-      "
Aberlour 16 Loch Chaim,"
      C      "
Aberlour 17 (The Whisky Exchange),"
      B+      "
Aberlour 18 year ,"
      B-      "
Aberlour 1970 ,"
      B+      "
Aberlour 1985 Warehouse No. 1,"
      B-      "
Aberlour 1991 A.D. Rattray K&L,"
      B      "
Aberlour 1993 NC2,"
      C+      "
Aberlour 1994 Carn Mor Strictly Limited,"
      B      "
Aberlour 2000 Exclusive Malts,"
      B-      "
Aberlour 2001 White Oak,"
      C+      "
Aberlour 21,"
      B      "
Aberlour 8 (1970's),"
      B      "
Aberlour A'Bunadh (Batch 12),"
      B+      "
Aberlour A'Bunadh (Batch 15),"
      B-      "
Aberlour A'Bunadh (Batch 16),"
      B+      "
Aberlour A'Bunadh (Batch 18),"
      B      "
Aberlour A'Bunadh (Batch 21),"
      B      "
Aberlour A'Bunadh (Batch 23),"
      B+      "
Aberlour A'Bunadh (Batch 29),"
      B      "
Aberlour A'Bunadh (Batch 30),"
      B      "
Aberlour A'Bunadh (Batch 45),"
      B      "
Aberlour A'Bunadh (Batch 6),"
      B+      "
Aberlour A'bunadh Batch 14,"
      B+      "
Aberlour A'bunadh Batch 39,"
      B+      "
Aberlour A'bunadh Batch 46,"
      B      "
Aberlour A'bunadh Batch 47,"
      B      "
Aberlour A'bunadh Batch 50,"
      B      "
Aberlour-Glenlivet 12 (Circa 1970's),"
      C      "
Aberlour-Glenlivet 1970 Signatory Vintage,"
      B-      "
Abhainn Dearg First Bottling,"
      B-      "
Abraham Bowman 17 (The Party Source),"
      B      "
Abraham Bowman 19 yo The Party Source,"
      A-      "
Abraham Bowman 9 yo Rye,"
      B      "
Abraham Bowman Bourbon (Barrel 1),"
      B+      "
Abraham Bowman Gift Shop,"
      A-      "
Abraham Bowman Gingerbread Beer Finished,"
      B-      "
Abraham Bowman Last Millennium,"
      B      "
Abraham Bowman Port Finished Bourbon,"
      B-      "
Abraham Bowman Rye (The Party Source),"
      A-      "
Abrahm Bowman Limited Edition (#3),"
      B+      "
Alberta Premium 30,"
      B      "
Alberta Premium Dark Horse,"
      B-      "
Alibi,"
      D+      "
Allt a Bhainne 1976 Chieftain's,"
      B+      "
Allt a Bhainne 1979 Cadenhead,"
      B+      "
